id,nama,bup_usia,kel_jabatan_id,jenjang,status,cepat_kode
E6E028E85EBD135EE050640AF1086013,Analis Pemberantasan Tindak Pidana Korupsi Ahli Pertama,58,E6E028E85EB9135EE050640AF1086013,PT,N,87508
E6E028E85EBE135EE050640AF1086013,Analis Pemberantasan Tindak Pidana Korupsi Ahli Muda,58,E6E028E85EB9135EE050640AF1086013,MU,N,87509
E6E028E85EBF135EE050640AF1086013,Analis Pemberantasan Tindak Pidana Korupsi Ahli Madya,60,E6E028E85EB9135EE050640AF1086013,MA,N,87510
E6E028E85EC0135EE050640AF1086013,Analis Pemberantasan Tindak Pidana Korupsi Ahli Utama,65,E6E028E85EB9135EE050640AF1086013,UT,N,87511
E6E028E85EC1135EE050640AF1086013,Pranata Pemberantasan Tindak Pidana Korupsi Terampil,58,E6E028E85EBA135EE050640AF1086013,TR,N,87512
E6E028E85EC2135EE050640AF1086013,Pranata Pemberantasan Tindak Pidana Korupsi Mahir,58,E6E028E85EBA135EE050640AF1086013,MH,N,87513
E6E028E85EC3135EE050640AF1086013,Pranata Pemberantasan Tindak Pidana Korupsi Penyelia,58,E6E028E85EBA135EE050640AF1086013,PY,N,87514
E6E028E85EC4135EE050640AF1086013,Penyelidik Tindak Pidana Korupsi Ahli Pertama,58,E6E028E85EBB135EE050640AF1086013,PT,N,87515
E6E028E85EC5135EE050640AF1086013,Penyelidik Tindak Pidana Korupsi Ahli Muda,58,E6E028E85EBB135EE050640AF1086013,MU,N,87516
E6E028E85EC6135EE050640AF1086013,Penyelidik Tindak Pidana Korupsi Ahli Madya,60,E6E028E85EBB135EE050640AF1086013,MA,N,87517
E6E028E85EC7135EE050640AF1086013,Penyelidik Tindak Pidana Korupsi Ahli Utama,65,E6E028E85EBB135EE050640AF1086013,UT,N,87518
E6E028E85EC8135EE050640AF1086013,Penyidik Tindak Pidana Korupsi Ahli Pertama,58,E6E028E85EBC135EE050640AF1086013,PT,N,87519
E6E028E85EC9135EE050640AF1086013,Penyidik Tindak Pidana Korupsi Ahli Muda,58,E6E028E85EBC135EE050640AF1086013,MU,N,87520
E6E028E85ECA135EE050640AF1086013,Penyidik Tindak Pidana Korupsi Ahli Madya,60,E6E028E85EBC135EE050640AF1086013,MA,N,87521
6369a51d-dbd3-4739-af3b-0e6a80edc148,Pengawas Perikanan Pemula/Pelaksana Pemula,58,fa4e7c5d33dc42b8a7295d24fad30271,PM,O,87522
ff80808149a41441014a187f52aa785b,Perawat Gigi Ahli Muda,58,A5EB03E23D9BF6A0E040640A040252AD,MU,N,07308
503124010dfe4338a720475c80c6d40a,Asisten Pembina Profesi Keuangan Ahli Pertama,58,2a5485d19fc9498d99895da91966376b,PT,X,87376
1984d787364441d4b46e9b49fd734e24,Asisten Pembina Profesi Keuangan Ahli Muda,58,2a5485d19fc9498d99895da91966376b,MU,X,87377
4faca36ba0c54254969aec8741af5caa,Asisten Pembina Profesi Keuangan Ahli Utama,60,2a5485d19fc9498d99895da91966376b,UT,X,87379
E9402D58D3242F44E050640AF10846B5,Administrator Database Kependudukan Ahli Utama,65,8526661517521B27E050640A2A033128,UT,X,87277
8ae483a8670b5bd101671112c42b2bb5,Asisten Perisalah Legislatif Terampil,58,85266615176F1B27E050640A2A033128,TR,N,48008
8ae483a8670b5bd10167111344372c16,Asisten Perisalah Legislatif Mahir,58,85266615176F1B27E050640A2A033128,MH,N,48009
8ae483a8670b5bd101671113a85e2c34,Asisten Perisalah Legislatif Penyelia,58,85266615176F1B27E050640A2A033128,PY,N,48010
7f1babc486c44398aa8c61132810b059,Asisten Pembina Profesi Keuangan Ahli Madya,60,2a5485d19fc9498d99895da91966376b,MA,X,87378
ff8080814cd5031e014cdff5390617c0,Pengawas Mutu Hasil Perikanan Pelaksana,58,A5EB03E23D83F6A0E040640A040252AD,TR,X,06208
A5EB03E23F73F6A0E040640A040252AD,Penilik Penyelia,58,A5EB03E23D87F6A0E040640A040252AD,PY,X,08204
ff80808141007c23014129fd5f0044cb,Perawat Pemula,58,A5EB03E23D8CF6A0E040640A040252AD,PM,X,10008
D6B0F742EB891979E040640A02021D72,Pengawas Benih Tanaman Pelaksana Lanjutan,58,A5EB03E23D9DF6A0E040640A040252AD,MH,X,08707
